Image_File_Path,Breed,Label,Split
data\dog images\Rottweiler\image_449.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_484.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_328.jpg,Dalmatian,0,train
data\dog images\Pug\image_64.jpg,Pug,2,train
data\dog images\Rottweiler\image_159.jpg,Rottweiler,3,train
data\dog images\Pug\image_304.jpg,Pug,2,train
data\dog images\Dalmatian\image_273.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_377.jpg,Golden Retriever,1,train
data\dog images\Pug\image_202.jpg,Pug,2,train
data\dog images\Pug\image_492.jpg,Pug,2,train
data\dog images\Rottweiler\image_270.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_447.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_128.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_121.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_178.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_195.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_321.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_181.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_121.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_482.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_487.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_251.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_282.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_310.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_124.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_482.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_116.jpg,Golden Retriever,1,train
data\dog images\Golden_Retriever\image_183.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_278.jpg,Rottweiler,3,train
data\dog images\Rottweiler\image_288.jpg,Rottweiler,3,train
data\dog images\Dalmatian\image_218.jpg,Dalmatian,0,train
data\dog images\Pug\image_250.jpg,Pug,2,train
data\dog images\Dalmatian\image_149.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_2.jpg,Golden Retriever,1,train
data\dog images\Rottweiler\image_486.jpg,Rottweiler,3,train
data\dog images\Pug\image_227.jpg,Pug,2,train
data\dog images\Pug\image_192.jpg,Pug,2,train
data\dog images\Rottweiler\image_342.jpg,Rottweiler,3,train
data\dog images\Pug\image_294.jpg,Pug,2,train
data\dog images\Dalmatian\image_370.jpg,Dalmatian,0,train
data\dog images\Pug\image_233.jpg,Pug,2,train
data\dog images\Dalmatian\image_61.jpg,Dalmatian,0,train
data\dog images\Dalmatian\image_429.jpg,Dalmatian,0,train
data\dog images\Rottweiler\image_292.jpg,Rottweiler,3,train
data\dog images\Golden_Retriever\image_497.jpg,Golden Retriever,1,train
data\dog images\Pug\image_488.jpg,Pug,2,train
data\dog images\Rottweiler\image_217.jpg,Rottweiler,3,train
data\dog images\Pug\image_370.jpg,Pug,2,train
data\dog images\Golden_Retriever\image_348.jpg,Golden Retriever,1,train
data\dog images\Pug\image_499.jpg,Pug,2,train
data\dog images\Dalmatian\image_140.jpg,Dalmatian,0,train
data\dog images\Golden_Retriever\image_57.jpg,Golden Retriever,1,train
data\dog images\Dalmatian\image_17.jpg,Dalmatian,0,train
